ProjectID;ProjectName;Location;YearBuilt;StakeholderIDs
1;Trähus 2001;POINT(13.0001566 55.6052931);2000;510,603
2;Housing Block in Merano;POINT(11.1594185 46.6695547);2003;612,276,37,287
3;Spöttlgasse;POINT(16.3725042 48.2083537);2004;33,283,318,334,346,633
4;Altenpflegeheim Höchsterstraße (Pflegeheim Dornbirn, Dornbirn Nursing Home);POINT(9.7423875 47.413631);2005;220,259,315,493
5;Svartamoen Place;POINT(10.3951929 63.4305658);2005;554,114,510
6;Fairmules House;POINT(-0.1276474 51.5073219);2006;348,33,478,198
7;Holzhausen;POINT(8.5539378 47.1486137);2006;612,380,490,517
8;WHA am Mühlweg Bauteil A (Wohnanlage Mühlweg);POINT(10.3435454 50.8149812);2006;259,287,398
9;WHA am Mühlweg Bauteil C;POINT(16.3725042 48.2083537);2006;171
10;Wohnanlage Samer Mösl;POINT(6.538035170357949 49.0207259);2006;430,550
11;Casa Montarina;POINT(8.9520281 46.0050102);2007;108,353,366,224,555