ProjectID,ProjectName,YearBuilt,StakeholderIDs
1,Trähus 2001,2000,"510,603"
2,Housing Block in Merano,2003,"612,276,37,287"
3,Spöttlgasse,2004,"33,283,318,334,346,633"
4,"Altenpflegeheim Höchsterstraße (Pflegeheim Dornbirn, Dornbirn Nursing Home)",2005,"220,259,315,493"
5,Svartamoen Place,2005,"554,114,510"
6,Fairmules House,2006,"348,33,478,198"
7,Holzhausen,2006,"612,380,490,517"
8,WHA am Mühlweg Bauteil A (Wohnanlage Mühlweg),2006,"259,287,398"
9,WHA am Mühlweg Bauteil C,2006,171
10,Wohnanlage Samer Mösl,2006,"430,550"
11,Casa Montarina,2007,"108,353,366,224,555"